cluster_label,cluster_color,cluster_name,n_subjects,age_mean,density_ratio_2d_mean,density_ratio_3d_mean,nonzero_voxels_mean
0,blue,cluster_label_0_blue,198,70.90652161601643,0.4943404310662556,0.8934592561416546,12106025.333333334
2,brown,cluster_label_2_brown,206,70.45293488280737,0.5166476082191569,0.9120039627916078,11862130.22815534
3,cyan,cluster_label_3_cyan,319,71.51809279601495,0.5581437683540316,0.9593397285123604,11206393.984326018
4,gray,cluster_label_4_gray,217,71.42605718946884,0.5546507178163949,0.9622766476672316,11157177.769585254
