spectral_label,centroid_pc1,centroid_pc2,dist_from_global,n_subjects
0,-60.60468666720202,136.00812295454546,148.89910830515214,198
1,-263.2288169902912,-1.1392827233009741,263.2299032484063,103
2,130.0936733300971,98.0169599092233,162.8865512621324,206
3,-58.71305669931036,-85.89492482758621,104.04333462784092,319
4,143.04620065898618,-90.3372152672811,169.1846325079328,217
